Reviews,Ratings
"The fx are excellent.And that's about the only positive thing I can say about this movie. It's obvious Damien Leone is an fx guy because he likely thinks of the fxs first, then builds a weird, convoluted story around them.All I could think of while watching this movie was ""Funny Games"" because there's a lot of violence, with little redemption. What redemption there is in the story is weird and confusing.Only real fans of this sort of hyper realistic gore will think this is what a good movie is.People who appreciate actual good movies will just see it as Damien Leone's fx reel.A completely joyless mess. Not even close to the slashers most of us fell in love with.",negative
"Continuing the story where the first film left off, Leone clearly already planned to turn Terrifier into a saga and with good reason because Art The Clown has the potential to have his own saga. This sequel is not as retro as the previous one, but there are improvements in the script, production and rhythm, even without changing the level of violence and gore. Art is truly a disturbing character who, without expressing a single sound and with his characteristic humor, is a character who manages to be funny and disturbing at the same time. This sequel already gives clear clues that Art is a supernatural being, since the previous film did not justify his superhuman strength, but the ending already gave an indication. The gore feels a little cheaper than in the previous film, on some occasions and on others, it is very well done. The presence of Halloween is more noticeable and it really is an excellent sequel, although the important role that Sienna will have to play makes the film also lean towards fantasy. Terrifier 2 is undoubtedly a good Halloween movie and a sequel that surpasses its predecessor. My final rating for this movie is a 9/10.",neutral
"I didn't know about the Terrifier franchise until part 2 got released last year. I went ahead and rented the first movie (yes, there are still local video stores). One of the most insane movies that I've ever seen. Having heard that a third movie is in the works, I rented ""Terrifier 2""; I had to watch one more horror flick before October ended.This one is also bananas. Some of the goriest scenes that I've ever witnessed (most of it practical effects to be precise). It's safe to say Art the Clown can get reasonably classified as one of the slasher icons alongside Michael, Jason, Freddy and Ghostface. But at the same time, the movie does give you a reason to care about Art's victims.Basically, it's so over-the-top that you can't help but enjoy it. Unpleasant dreams!",positive
"I wouldn't recommend watching this movie. It was definitely a slasher/gorefest movie, which is fine. However, the sfx makeup and actual anatomy of the gore was horrible. The makeup was so bad and you could see whenever they would switch the actors for the props. The actual anatomy of the gore also made it hard to find this movie ""scary"". The acting was also very mediocre, think classic disney channel acting. Along with majority of the characters being insufferable, causing me to simply be annoyed for the entire film. I will say the film was very immersive, and not boring. The film also felt very long, I feel as if some scenes could have been cut down as well.",negative
"Greetings from Lithuania.I liked ""Terrifier 2"" for the same reason i liked first ""Terrifier"" - its a well paced horror movie made on a small budget with a goory horror effects. And by saying goory i mean this movie i bloody as hell. There are scenes (many of them) which depicts killings in a way that would put Michael Mayers to a shame. Its a brutal film yet i liked it for its not being somehow at the same time duscusting torture horror porn - i dislike those one.""Terrifier 2"" had a bigger budget then a first one and it shows. This is more ambitious movie but at the same time it stayed to its roots. While the ending might make many viewers to scratch their heads because it is a bit to convoluted, i kinda liked it to be in a mood with a movie - you have to be a bit in a mood for ""Terrifier 2"" in general and if stick with it you will enjoy the ride.A descent sequel and would like to see a next movie in a series.",positive
"This honestly was the most brutal and gory movie I have ever seen. The acting overall was pretty bad, the story if there even was one, not much better.However, the clown and the whole feel of the movie was surprisingly entertaining and caught myself laughing quite a bit. I had not seen part 1 prior to this movie, although I was told it was not needed. After this I feel like I want to see the first part as well just for pure entertainment. The clown was fantastic and the whole vibe it gave plus the extra laughs was enjoyable.Overall I found it a great mix and definitely enjoyed i, would recommend for sure as an avid horror movie fan.",neutral
"I don't understand why Leone's movies have such a strong cult following. Art is entertaining at times but they're mostly empty movies with nothing to say. The reason why torture films like Saw and Hostel work is cause Saw has an intelligent, intricate plot with stakes in the characters' decisions, and Hostel has character development and deeper meaning and message. Leone's movies are just like let's cut people up over and over again. And it's not that I can't handle what he shows, I'm a big horror buff, but his movies are boring, poorly acted, and have nothing going on. Along with Mike Flanagan, Leone is the most overrated in horror filmmaking right now.",positive
"This film falls in the category of being quite entertaining and it was okay to watch once, but I wouldn't watch it again.I like Art The Clown, I like the introduction of his little assistant, I like the killing scenes even if they are slightly over the top and look quite fake. I only struggled towards the end throughout the final scenes (last 30 mins or so) where the final parts of reality go out the window. Sadly this is the case with a lot of horrors. The scare factor comes mainly from realism and as soon as superpowers are introduced, it makes the film less interesting. In summary, a very strange film.",neutral
"I'm gonna start with this. I had high hopes for this movie, and somehow Dir. Leone exceeded them by like, quite a few miles. This is the only film to have me squirm in my seat and gag, and I loved every second of it. David Howard Thornton is DERANGED. I love it. This film is also one of the only horror films that I absolutely love the central protagonists. Lauren LaVera & Elliot Fullam knocked this out of the park, and I'm not even gonna mention how eerie the entire setting is. Oh, and that terrifying demon girl (Amelie McLain, you freaked me out), that is the icing on top of this. Definitely one of my new favorite slashers that I'm definitely gonna revisit over and over every Halloween.",negative
"Terrifier 2, directed by Damien Leone, is a highly anticipated horror sequel that builds upon the sadistic and gory elements of its predecessor. While the film delivers on its horror and gore aspect, it falls short in terms of acting execution, pacing, and logical consistency.Set in a desolate town, Terrifier 2 follows the murderous clown Art as he wreaks havoc on unsuspecting victims. The film explores sadistic torture and showcases brutal gore, catering to fans of extreme horror. However, it is marred by several issues that hinder its overall impact.The acting in Terrifier 2 is a mixed bag. At times, the performances feel unconvincing and fail to fully immerse the audience in the story. This detracts from the film's ability to create a genuinely terrifying atmosphere. Additionally, the pacing of the movie feels overly prolonged, resulting in a sense of dragging and a lack of narrative momentum.One of the major shortcomings lies in the inclusion of magical weapons, specifically a sword, towards the end of the film. These elements seem out of place and defy the established rules of the movie's universe, leaving the audience questioning their significance and relevance to the story.Furthermore, the portrayal of the main character as seemingly invincible diminishes the sense of suspense and stakes. This choice detracts from the tension that could have been built around the encounters with Art and undermines the believability of the plot.The final fight scene, while intended to be climactic, suffers from an excessive length. Instead of delivering a satisfying conclusion, it becomes repetitive and loses its impact, eventually becoming tiresome for the audience.Terrifier 2 excels in its horror and gore aspect, delivering scenes that are genuinely disturbing and unsettling. The film embraces its sadistic nature, providing fans of extreme horror with the gruesome content they seek. The practical effects are commendable, adding to the authenticity of the gore.However, there are instances where the victims survive for an extended period, despite the severity of their injuries. This inconsistency breaks the immersion and logic of the film, undermining the tension and realism that could have been established.While Terrifier 2 offers a satisfactory dose of horror and gore, it falls short in several critical areas. The poorly executed acting, prolonged pacing, illogical inclusion of magical weapons, and the main character's invincibility undermine the overall quality of the film. The never-ending fight scene further dampens the experience. Nevertheless, if you have a strong stomach for sadistic horror and enjoy extreme gore, the movie may still provide some macabre enjoyment.Terrifier 2 presents a mixed viewing experience. It successfully delivers on the horror and gore front, but is let down by issues in acting execution, pacing, logical consistency, and an overextended climax. It will primarily appeal to fans of extreme horror who prioritize sadistic violence over narrative coherence. Proceed with caution if you find yourself drawn to the macabre, as Terrifier 2 offers a visceral but flawed journey into brutality.",neutral
"When Terrifier 2 came out, some internet buzz and other publicity talked about how it was the goriest movie ever and that many people had been sickened during various screenings of it. However, some of them may have been sickened by other aspects of this over-bloated, full-of-itself sequel that seems to have been ""written"" by a comittee of 20 people.Today is October 18th, and.during the Halloween season, I like to watch a new movie and possibly review it. So, what are the problems of Terrifier 2?1. No soul. Over two movies., no mention of Art the Clown's backstory or raison d'etre is ever broached. Yes, other movies that have tried to give history to a serial slasher have failed, such as Rob Zombie's Halloween and Texas Chainsaw Massacre, the Beginning, but for Terrifier 2, this means all the onscreen carnage lacks context.2. It's over-long. The sweet spot for this type of horror movie is about 90 minutes to just short of two hours, tops. This one clocks in at an exhausting 2 hours and 15 minutes with no payoff.3. Bad acting. So, it's not ""Troll 2"" bad, which might have made it more interesting, but it's bad enough that you start having thoughts like ""I hope they paid these kids a lot to be in this"" because with reshots and staging it must have been grueling, which means the characters themselves are un-engaging and you don't ""feel their pain.""4. Some of the gore defies physics and is unrealistic. To explain exactly how would create spoilers, so suffice it to say that a lot of it looks like mannequins with squirting blood sacs, which is what it may exactly have been in a couple of cases.5. It's boring. There is a half-a$$ attempt to create hip dialog between some of the younger characters, but it's gag-worthy and manipulative.In short, Terrifier 2 is a terrifying waste of time!",positive
"Terrifier 2 is a rare case of the sequel being better than the original. The original was also fantastic, but Terrifier 2 takes everything great about that film, and buids on it creating an experience that is close to perfection.We actually get some plot/backstory this time. It is vauge/somewhat confusing, but it works well enough where the crew could make a great narrative in the future. The acting here is great. Art somehow manages to turn up his brutality, which from the original film I didn't know was possible.(So many insane moments) We also get to meet one of the most interesting final girls I've ever seen in Sienna.I cannot rate this film highly enough, and I can't wait for the release of Terrifier 3. Until then I'll just be over here constantly singing along to ""Clown Cafe"".",negative
"The first one was good because it was short and sweet. Well, short and bloody creative. If you're going to feature the same B-tier acting, we don't need 300 additional lines of dialog. The Final girl Sienna was acted very well don't get me wrong. But there's absolutely no reason a slasher should be over 2 hours. I think the director heard the criticism of the first Terrifier having no plot and over corrected. Why exactly do we need magic, comics, and weird singing? We don't. All we asked for was a clown and blood. Could've cut half of the scenes here easily. The blonde friend and her.....boyfriend? The whole party sequence... I'm just spitballing here. Anyway, my favorite part was seeing Felissa Rose in a cameo. Well, gonna go watch Sleepaway Camp again!",neutral
"""The Terrifier 2"" masterfully blends horror and artistry, crafting a sinister yet visually captivating experience. Against a film noir backdrop, the film weaves heightened anxiety, fear, dark humor, and unadulterated horror into a gripping narrative. Lauren LaVera delivers a compelling performance as Sienna, the fierce heroine fighting alongside her younger brother Jonathan, creating a believable sibling bond that anchors the chaos. Art the Clown, portrayed with chilling brilliance, embodies terror incarnate, making every encounter pulse with dread.The gore-splatterings are not just gratuitous, but meticulously choreographed, heightening the visceral impact. The cinematography is a triumph, expertly capturing the macabre beauty within the horror. The pacing keeps you on the edge, never relenting in its relentless pursuit of terror. Director Damien Leone's vision is on full display, orchestrating a symphony of fear that leaves you breathless. ""The Terrifier 2"" is a must-watch for horror aficionados, an unapologetically gruesome dance of dread that lingers long after the credits roll... Speaking of credits, stick around for a Walls of Jericho surprise.",positive
"Not a big fan of clowns but I do love horror. The first one surprised me with the black comedy, gruesome effects, and originality. When I heard a second one was being made I was questioning how.. but like any great slasher franchise leave everything out the door and enjoy what's being done. I love Freddy, Jason, and Michael, Art the Clown is a force to be reckoned with, he's holy, extremely disturbing, and original there's no path to his kills or his torture, he just does it. Damien Leone delivered a masterpiece in grotesque fashion, and original storytelling. This is a must see for any slasher film fan, or horror film fanatic. Definitely recommend!",positive
"Terrifier 2 ups the Ante big time in terms of gore, scares and most importantly, storyline! While the first film was simply a really gory slasher, part 2 takes a deep dive into the story of Art and the 2 main characters Sienna and Jonathan.Over the top doesn't even begin to describe the kills in this movie. Art takes people out in the most gruesome ways possible including bashing a dude's skull open to eat his brain, splitting a girl's chest open to eat her heart, Tommy gunning several people in one room and slicing a woman apart then pouring salt and bleach in her wounds. There's even a classic Savini style shotgun to the head scene. The gore scenes are absolutely top notch 80s style practical FX.While Art remains creepy, his sidekick Pale Girl is what nightmares are made of. She is so scary in every scene she's in.The story follows Sienna and Jonathan as they randomly encounter Art and Pale Girl all the way up to an all out battle with the killer clown. They're also still reeling from the loss of their father who may or may not actually be Art. There is a lot of potential story explored but not answered including Pale Girl's origin and many supernatural elements that hint toward being revealed in Part 3.Any Slasher fan or Gore Hound simply MUST see Terrifier 2. It's the goriest slasher in years! Simply a balls out, pull no punches, Grindhouse style flick that is sorely lacking these days.I give Terrifier 2 a 93%",negative
"A mumbo jumbo impressive, f**up sequel with the ever star Art the Clown, where no professional clown could have done a better job. It has at least 25 minutes over-runtime, the folks in the editing room where probably asleep all the way. It features an impressive Lauren LaVera who looks 6 years less and does a more than decent job acting-wise.The gore and super visual effects, besides the blood color, are plenty, but as they are scattered randomly and sort of unimpressively throughout, they fail to ignite the desired effects.If they do a better job with the film logic, the 'Terrifier' productions could be memorable and ill-enthralling.Screenplay/storyline/plots: 5Development: 7.5Realism: 7Entertainment: 7.5Acting: 8Filming/photography/cinematography: 7VFX: 8Music/score/sound: 6.5Depth: 2.5Logic: 1Flow: 7.5Horror/thriller: 7.5Ending: 4.5.",negative
